wrld_75995de8-1464-4320-af86-dead1c6e85ce	1	0	Silent	[FFXIV] Kugane	Explored
wrld_0c3924bd-e471-4121-95a4-f55f4c3bafde	1	0	Venat	[FFXIV] Elpis	Explored
wrld_7ec27a1d-fabf-4842-8303-05eaf072bcab	1	0	Mediasaur	[Firewatch] Shoshone National Park	Explored
wrld_eb687c3a-d5f8-473b-9ab1-a8284a5c6e8c	1	0	Photographotter	[Minecraft] 3.5 million square meter server upload	Unexplored
wrld_d955a398-73b0-4c4c-9b0e-a9228b2dbb82	1	0	Photographotter	[Minecraft] Pandacraft Nether	Unexplored
wrld_7601913b-6677-48f2-930c-54e440f9e089	1	0	Silent	[Trails] Esmelas Gardens	Explored
wrld_cc834611-89aa-4bf9-a3d0-30cc894637ba	1	0	Desunyan	[NieR：Automata] flowers	Unexplored
wrld_ba106bf1-626f-4828-a427-6524216862f5	1	0	M1ghtBeEvan	[Dark Souls] Anor Londo	Explored
wrld_051b2b4f-c6cf-4c06-8467-2a9804cb0163	1	0	somestupidguy	[Demon's Souls] The Nexus	Explored
wrld_c3d6a595-3f19-409c-b28c-f985bc3ed762	1	0	ControVR	[MediEvil] Dan's Crypt (adds initial NPC VO)	Explored
wrld_d0b2a3e7-e0b9-4ee9-a029-834d297a4297	1	0	TaintedSponge	[Mario Kart 8] Lunar Colony	Explored
wrld_2dbebba8-71d4-4f9e-a9d9-5ce541a29b33	1	0	JadeDoe	[Friends vs Friends] Friendtown	Explored
wrld_7c2e28e8-c641-4852-a2c2-5de40af218bf	1	0	(Doodle)	[Tunic] Library - Hall - 0.5 3⁄4	Unexplored
wrld_a489fa3f-1564-4356-be5d-a9e54f9030f7	1	0	(Doodle)	[Tunic] shop beta	Explored
wrld_ffea6ab4-bb7b-49d5-84c1-0e0615934ab3	1	0	Mississauga	[Zenless Zone Zero] Hub World	Explored
wrld_4f7df707-6245-4e40-a909-c0494435bab1	1	0	The_Heavynator	[Team Fortress 2] koth_Suijin	Explored
wrld_90b3a9db-a820-44eb-aee9-97827d501018	1	0	The_Heavynator	[Black Mesa] Hydro Dam	Explored
wrld_ccf7f342-95ac-4e2a-8c7f-2ea6e7451079	1	0	DarkBlade909	[Garry's Mod] rp_downtown_v2	Explored
wrld_28b1feb7-e521-4286-a847-13944a9f2c8a	1	0	ControVR	[Garry's Mod] Cliffside Point	Unexplored
wrld_59472568-1adb-4a92-918a-5bebb34d1cb5	1	0	-Robert	[World of Warcraft] Kyrian Hangout	Explored
wrld_dc0a45bb-d36c-4685-a661-e3b81adc0b74	1	0	Jollywolly	[Resident Evil 2] Gas Station	Unexplored
wrld_15e646a9-2b2a-4e0a-a66a-2d615521cd96	1	0	i̎s̠h̤m̄a̚eͧlͩ	[Elder Scrolls V: Skyrim] Dragonsreach	Unexplored
wrld_c2da7b01-e237-4c97-925d-1de5a6cb8089	1	0	Ss7GoKu2000	[Elder Scrolls IV: Oblivion] Palace District	Unexplored
wrld_927006ab-c320-4dc3-a07d-beb135a0ce91	1	0	TheOfficalGren	[FFXIV] Arm of the son	Explored
wrld_f1f92625-f93e-419f-86f9-b112b427fb74	1	0	TheOfficalGren	[FFXIV] The Cuff of the Son (Alexander)	Explored
wrld_2d1d3147-784b-4772-b377-360ec2413259	1	0	French User	[Resident Evil 7] Public Test	Explored
wrld_9dcdbc3f-0650-45ff-a380-0e354662f555	1	0	X e r 0	[Gears of War] Courtyard (PVP)	Explored
wrld_98e2185c-da22-4562-9815-b5653df3769b	1	0	O͎d͎i͎n͎	[Halo] Cleansing Faith Bridge	Explored
wrld_9e811d37-ae87-4347-98aa-44695798fe45	1	0	YokaiOfHikari	[Amnesia: The Dark Descent] BackHall	Explored
wrld_781d1a92-db7b-4a3e-a839-cbedddf9af77	1	0	Schizy	[Hardspace: Shipbreaker] LYNX Hab	Explored
wrld_3f1fe341-e789-4949-8c60-20eecf616b32	1	0	i̎s̠h̤m̄a̚eͧlͩ	[Hogwarts Legacy] Slytherin Commons	Unexplored
wrld_8c98e8a9-cb81-4eae-8c53-6e7e855dc7ef	1	0	F I J I W A T E R	[Early Internet] Blitcom Loft (1997 Bliss.com VRML short)	Unexplored
wrld_0a3ce70d-4700-4938-98fe-7560d0079150	1	0	Dust-TATARI	[BlazBlue: Cross Tag Battle] Abandoned Temple	Explored
wrld_b528228b-51e8-42ef-8d78-2ccdc674f552	1	0	Dust-TATARI	[BlazBlue] Lost Town	Unexplored
wrld_e1f189ab-5c87-437e-b871-ca4898857930	1	0	Josh	[Angelo Rules: Crazy Day] Angelo's House	Explored
wrld_101ac8e7-cc4f-4357-8b98-caa1d4e0546c	1	0	honeyjinsang	[JAZZPUNK] Darlington Station	Explored
wrld_a067685b-373d-4098-bf1f-4a6b3562fcaf	1	0	~Randy-Meeks~	[Super Mario Odyssey] The Odyssey	Unexplored
wrld_605de41c-a864-4d66-b621-8a8fb81b3a1c	1	0	LoneEevee	[Super Mario Galaxy] The Star Festival	Unexplored
wrld_713a7bb0-51c2-4140-afa7-ad22a3461b35	1	0	65Flame	[Super Mario Galaxy] The Comet Observatory	Unexplored
wrld_bb70493b-6c0c-4480-9bc5-aed84f5022b5	1	0	MARIO12A	[Paper Mario] Mario Bros․ House	Unexplored
wrld_050fbd71-2d1b-4a63-aa8d-a0d8b9bbeb3d	1	0	ruralist	[Super Mario 64] Wet-Dry World	Unexplored
wrld_40ca6132-cbdd-4ab9-a83e-b0633f58cd75	1	0	Some_Dude_Haha	[Super Mario 64] Hazy Maze Cave	Unexplored
wrld_a265379e-0914-4e4d-bbe2-b67186730fe3	1	0	Some_Dude_Haha	[Super Mario 3D World] The Bowser Express	Unexplored
wrld_dc595ed0-1ce3-41d7-91d8-d398bc08bee6	1	0	N.Void	[Mario Party 8] Hub	Unexplored
wrld_f85a3d58-6ce6-42cc-8954-2154d111e407	1	0	REAL FREDDY236	[Mario Kart 8] Rock Rock Mountain	Unexplored
wrld_90d1f2a8-7a98-4c8c-8996-f00b9fb91146	1	0	Takato Matsuki	[Xenoblade Chronicles 2] The Ancient Ship	Unexplored
wrld_5c5c88e0-ffa8-464d-9661-d483845f6f0f	1	0	LowTierSpartan	[Star Fox: Assault] Aparoid City	Unexplored
wrld_1390ec3f-b327-45f8-9743-1a65ac10b271	1	0	SunblazeW	[Mother 2] Earthbound in VR	Unexplored
wrld_61dbf8af-4d32-4f8c-984c-b2b701c89bff	1	0	LoneEevee	[Metroid Prime] Phendrana Drifts	Unexplored
wrld_3a57054d-5021-4a6f-88bc-2216194f4bab	1	0	Rangtopia	[Tomodachi Life] Tomodachi Island	Unexplored
